Date,Source CO AQI Value,CO AQI Value,NO2 AQI Value,Ozone AQI Value,PM10 AQI Value,PM2.5 AQI Value,SO2 AQI Value
1/1/2020,AQS,34,54,54,103,199,156
1/2/2020,AQS,19,50,46,62,102,150
1/3/2020,AQS,24,55,46,59,160,136
1/4/2020,AQS,35,48,51,59,139,108
1/5/2020,AQS,25,48,54,70,127,158
1/6/2020,AQS,24,67,49,88,91,165
1/7/2020,AQS,20,58,67,60,129,114
1/8/2020,AQS,38,60,74,69,156,60
1/9/2020,AQS,17,49,61,73,152,188
1/10/2020,AQS,34,46,48,54,159,200
1/11/2020,AQS,31,44,48,75,159,188
1/12/2020,AQS,24,45,44,60,87,121
1/13/2020,AQS,19,80,49,72,112,92
1/14/2020,AQS,20,70,156,93,142,65
1/15/2020,AQS,22,85,49,73,136,165
1/16/2020,AQS,32,63,80,1928,130,200
1/17/2020,AQS,36,65,47,95,122,97
1/18/2020,AQS,30,46,58,58,159,200
1/19/2020,AQS,24,54,67,60,167,151
1/20/2020,AQS,16,63,71,77,110,172
1/21/2020,AQS,23,76,126,93,125,75
1/22/2020,AQS,17,61,58,67,125,97
1/23/2020,AQS,18,67,49,61,105,92
1/24/2020,AQS,28,74,49,61,101,117
1/25/2020,AQS,20,46,48,100,112,143
1/26/2020,AQS,26,46,49,57,130,133
1/27/2020,AQS,16,58,50,55,113,116
1/28/2020,AQS,20,58,46,62,84,77
1/29/2020,AQS,13,54,46,207,95,80
1/30/2020,AQS,17,52,46,73,89,65
1/31/2020,AQS,23,62,90,91,98,99
2/1/2020,AQS,24,53,54,73,110,104
2/2/2020,AQS,27,44,80,458,89,128
2/3/2020,AQS,14,51,54,102,95,196
2/4/2020,AQS,18,52,50,68,83,147
2/5/2020,AQS,19,51,48,63,149,163
2/6/2020,AQS,18,57,61,75,114,168
2/7/2020,AQS,22,60,50,65,122,114
2/8/2020,AQS,24,85,77,65,104,84
2/9/2020,AQS,15,42,61,64,84,198
2/10/2020,AQS,11,80,54,87,73,140
2/11/2020,AQS,11,66,58,57,75,145
2/12/2020,AQS,15,72,67,71,92,109
2/13/2020,AQS,17,56,51,56,81,149
2/14/2020,AQS,19,84,61,59,90,128
2/15/2020,AQS,19,47,71,68,90,136
2/16/2020,AQS,16,57,105,79,87,128
2/17/2020,AQS,15,58,74,74,98,175
2/18/2020,AQS,16,57,67,92,88,178
2/19/2020,AQS,16,51,71,69,89,77
2/20/2020,AQS,14,57,80,82,95,183
2/21/2020,AQS,17,62,97,103,83,75
2/22/2020,AQS,16,60,126,53,87,160
2/23/2020,AQS,17,51,84,61,102,150
2/24/2020,AQS,16,73,108,79,98,131
2/25/2020,AQS,24,68,161,94,90,141
2/26/2020,AQS,17,52,58,52,93,119
2/27/2020,AQS,20,53,54,71,102,116
2/28/2020,AQS,20,74,87,66,131,147
2/29/2020,AQS,20,56,67,62,91,112
3/1/2020,AQS,26,49,58,86,82,168
3/2/2020,AQS,15,50,50,81,79,138
3/3/2020,AQS,41,57,58,67,74,125
3/4/2020,AQS,10,54,87,65,88,119
3/5/2020,AQS,15,58,67,95,78,110
3/6/2020,AQS,16,57,84,91,76,157
3/7/2020,AQS,10,47,93,105,89,61
3/8/2020,AQS,13,47,50,68,82,144
3/9/2020,AQS,15,46,61,61,90,188
3/10/2020,AQS,15,57,64,55,70,146
