State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
Alabama,Baldwin,2020,168,159,9,0,0,0,0,74,48,37,0,0,130,0,38,0
Alabama,Clay,2020,58,54,4,0,0,0,0,86,49,24,0,0,0,0,58,0
Alabama,DeKalb,2020,242,234,8,0,0,0,0,90,46,37,0,0,230,0,12,0
Alabama,Elmore,2020,149,149,0,0,0,0,0,47,43,33,0,0,149,0,0,0
Alabama,Etowah,2020,169,161,8,0,0,0,0,92,46,35,0,0,137,0,32,0
Alabama,Jefferson,2020,245,149,93,3,0,0,0,129,67,46,1,2,97,0,145,0
Alabama,Lawrence,2020,20,20,0,0,0,0,0,26,25,13,0,0,0,0,20,0
Alabama,Madison,2020,182,158,24,0,0,0,0,88,54,40,0,0,79,0,103,0
Alabama,Mobile,2020,203,184,19,0,0,0,0,68,50,35,0,0,101,3,99,0
Alabama,Montgomery,2020,209,103,104,2,0,0,0,116,67,51,0,0,31,0,178,0
Alabama,Morgan,2020,202,181,21,0,0,0,0,71,51,34,0,0,111,0,91,0
Alabama,Russell,2020,212,179,33,0,0,0,0,99,56,36,0,0,70,0,142,0
Alabama,Shelby,2020,211,200,11,0,0,0,0,71,47,31,0,0,147,64,0,0
Alabama,Sumter,2020,213,209,4,0,0,0,0,70,44,30,0,0,126,8,79,0
Alabama,Tuscaloosa,2020,165,159,6,0,0,0,0,97,45,33,0,0,133,0,32,0
Alaska,Aleutians East ,2020,20,20,0,0,0,0,0,31,28,8,0,0,0,0,20,0
Alaska,Anchorage ,2020,183,163,20,0,0,0,0,91,51,24,4,0,0,0,101,78
Alaska,Bethel ,2020,167,166,1,0,0,0,0,56,21,6,0,0,0,0,24,143
Alaska,Denali ,2020,235,234,1,0,0,0,0,54,43,35,0,0,235,0,0,0
Alaska,Fairbanks North Star ,2020,183,132,41,3,7,0,0,167,89,35,1,0,81,1,97,3
Alaska,Juneau ,2020,177,174,3,0,0,0,0,66,35,13,0,0,0,0,161,16
Alaska,Kenai Peninsula ,2020,20,20,0,0,0,0,0,40,13,4,0,0,0,0,20,0
Alaska,Matanuska-Susitna ,2020,178,162,15,1,0,0,0,103,49,16,0,0,0,0,137,41
Alaska,North Slope ,2020,15,15,0,0,0,0,0,36,13,6,0,0,0,0,15,0
Arizona,Apache,2020,270,268,2,0,0,0,0,57,25,14,0,0,0,0,6,264
Arizona,Cochise,2020,274,210,62,2,0,0,0,108,64,45,0,0,231,0,0,43
Arizona,Coconino,2020,274,227,47,0,0,0,0,93,58,45,0,0,274,0,0,0
Arizona,Gila,2020,274,160,101,10,3,0,0,174,81,49,0,0,230,32,0,12
Arizona,La Paz,2020,274,205,67,2,0,0,0,125,61,46,0,0,269,0,0,5
Arizona,Maricopa,2020,275,75,168,29,3,0,0,199,101,64,1,2,194,0,47,31
Arizona,Mohave,2020,267,262,4,1,0,0,0,116,34,19,0,0,0,0,3,264
Arizona,Navajo,2020,272,229,42,1,0,0,0,136,58,44,0,0,243,0,0,29
Arizona,Pima,2020,275,131,133,11,0,0,0,126,80,51,1,0,192,0,11,71
Arizona,Pinal,2020,273,107,137,29,0,0,0,150,101,59,0,0,195,0,13,65
Arizona,Santa Cruz,2020,271,213,56,1,1,0,0,165,60,30,0,0,0,0,146,125
Arizona,Yavapai,2020,271,205,65,1,0,0,0,119,64,46,0,0,271,0,0,0
Arizona,Yuma,2020,274,206,68,0,0,0,0,99,67,44,0,0,198,0,45,31
Arkansas,Arkansas,2020,90,82,8,0,0,0,0,82,47,27,0,0,0,0,90,0
Arkansas,Ashley,2020,92,85,7,0,0,0,0,89,48,28,0,0,0,0,92,0
Arkansas,Clark,2020,221,220,1,0,0,0,0,67,41,31,0,0,221,0,0,0
Arkansas,Crittenden,2020,274,228,43,3,0,0,0,115,57,40,0,3,175,0,96,0
Arkansas,Garland,2020,91,80,11,0,0,0,0,83,52,28,0,0,0,0,91,0
Arkansas,Jackson,2020,92,83,9,0,0,0,0,72,45,26,0,0,0,0,92,0
Arkansas,Newton,2020,271,266,5,0,0,0,0,84,45,36,0,0,271,0,0,0
Arkansas,Polk,2020,267,248,19,0,0,0,0,84,47,37,0,0,242,0,25,0
Arkansas,Pulaski,2020,275,207,66,2,0,0,0,132,59,42,1,4,138,0,132,0
Arkansas,Union,2020,91,79,12,0,0,0,0,89,52,33,0,0,0,0,91,0
Arkansas,Washington,2020,274,236,37,1,0,0,0,150,54,40,0,0,194,0,80,0
California,Alameda,2020,215,153,55,3,4,0,0,174,63,41,2,8,110,0,95,0
California,Amador,2020,209,201,8,0,0,0,0,77,48,37,0,0,209,0,0,0
California,Butte,2020,214,146,68,0,0,0,0,93,67,43,1,0,166,0,47,0
California,Calaveras,2020,212,178,34,0,0,0,0,80,54,41,0,0,165,0,47,0
California,Colusa,2020,251,205,25,6,15,0,0,184,78,36,0,0,169,0,75,7
California,Contra Costa,2020,215,162,47,2,4,0,0,164,58,40,2,2,121,0,90,0
California,Del Norte,2020,170,146,18,3,2,1,0,220,54,30,0,0,0,0,170,0
