year,month,month_num,type,all_sectors,electric_utilities,ind_power_producers,commercial_sector,industrial_sector
2019,January,1,coal,55834,41306,14305,8,214
2019,February,2,coal,45025,33349,11471,8,197
2019,March,3,coal,43974,31664,12133,9,168
2019,April,4,coal,33353,24495,8691,6,161
2019,May,5,coal,40015,30285,9547,6,178
2019,June,6,coal,44218,33558,10482,4,174
2019,July,7,coal,55863,42319,13345,5,193
2019,August,8,coal,52348,39741,12412,5,190
2019,Sept,9,coal,47188,35453,11554,6,175
2019,October,10,coal,37431,27149,10119,6,157
2019,November,11,coal,41907,30453,11274,6,173
2019,December,12,coal,40461,29769,10505,7,180
2020,January,1,coal,36767,27293,9282,5,187
2020,February,2,coal,32039,23652,8201,9,177
2020,March,3,coal,28988,21679,7134,6,168
2020,April,4,coal,23622,17006,6469,4,144
2020,May,5,coal,26849,19805,6898,4,142
2020,June,6,coal,36637,27742,8759,5,130
2020,July,7,coal,49838,38279,11411,5,143
2020,August,8,coal,50430,38888,11398,4,140
2020,Sept,9,coal,38701,29619,8927,7,149
2019,January,1,natural gas,873247,441597,373529,4566,53555
2019,February,2,natural gas,801042,411828,338638,4217,46359
2019,March,3,natural gas,835654,431525,350686,4516,48926
2019,April,4,natural gas,762539,398908,313343,4173,46115
2019,May,5,natural gas,863102,458692,350386,4217,49806
2019,June,6,natural gas,1016432,538784,422755,4619,50274
2019,July,7,natural gas,1283523,657262,566007,5625,54630
2019,August,8,natural gas,1305852,676156,568683,5493,55519
2019,Sept,9,natural gas,1108866,572573,478814,4824,52654
2019,October,10,natural gas,964472,493737,414452,4356,51926
2019,November,11,natural gas,846545,423023,366212,4253,53057
2019,December,12,natural gas,939284,464296,415293,4715,54981
2020,January,1,natural gas,957988,488493,409190,4702,55603
2020,February,2,natural gas,901967,466047,381213,4216,50491
2020,March,3,natural gas,901984,472779,374003,4084,51119
2020,April,4,natural gas,783043,414915,319418,3516,45194
2020,May,5,natural gas,853523,456172,346972,3804,46574
2020,June,6,natural gas,1067619,556783,457006,4249,49581
2020,July,7,natural gas,1396437,715032,623770,5046,52588
2020,August,8,natural gas,1304306,665469,580958,4980,52899
2020,Sept,9,natural gas,1058029,536040,469587,4484,47918
2019,January,1,petro coke,326,258,54,0,13
2019,February,2,petro coke,272,222,39,0,11
2019,March,3,petro coke,235,193,28,0,13
2019,April,4,petro coke,155,107,32,0,16
2019,May,5,petro coke,294,219,60,0,14
2019,June,6,petro coke,216,151,51,0,14
2019,July,7,petro coke,309,227,58,0,24
2019,August,8,petro coke,276,203,58,0,15
2019,Sept,9,petro coke,231,183,33,0,15
2019,October,10,petro coke,83,64,3,0,15
2019,November,11,petro coke,129,101,15,0,14
2019,December,12,petro coke,197,137,46,0,14
2020,January,1,petro coke,261,204,42,0,15
2020,February,2,petro coke,190,147,31,0,12
2020,March,3,petro coke,262,210,39,0,13
2020,April,4,petro coke,221,179,33,0,9
2020,May,5,petro coke,231,183,35,0,13
2020,June,6,petro coke,308,258,36,0,14
2020,July,7,petro coke,356,298,43,0,15
2020,August,8,petro coke,305,245,44,0,16
2020,Sept,9,petro coke,159,116,31,0,13
2019,January,1,petro liquids,2506,1672,755,32,46
2019,February,2,petro liquids,1482,1099,327,15,42
2019,March,3,petro liquids,1476,1159,263,16,38
2019,April,4,petro liquids,1417,1046,313,15,44
2019,May,5,petro liquids,1702,1305,346,17,33
2019,June,6,petro liquids,1747,1369,328,17,33
2019,July,7,petro liquids,1818,1328,436,24,30
2019,August,8,petro liquids,1868,1473,340,21,34
2019,Sept,9,petro liquids,1669,1305,302,27,35
2019,October,10,petro liquids,1709,1305,347,23,34
2019,November,11,petro liquids,1626,1228,339,23,37
2019,December,12,petro liquids,1816,1388,369,22,37
2020,January,1,petro liquids,1777,1484,237,22,34
2020,February,2,petro liquids,1444,1187,210,12,35
2020,March,3,petro liquids,1369,1012,309,17,31
2020,April,4,petro liquids,1185,923,222,12,28
2020,May,5,petro liquids,1288,1010,227,20,31
2020,June,6,petro liquids,1569,1232,287,20,30
2020,July,7,petro liquids,1747,1343,348,25,31
2020,August,8,petro liquids,1674,1316,311,24,23
2020,Sept,9,petro liquids,1411,1129,233,23,27
