year,month,type,all_sectors,electric,ind_power_producers,commercial_sector,industrial_sector
2019,January,coal,55834,41306,14305,8,214
2019,February,coal,45025,33349,11471,8,197
2019,March,coal,43974,31664,12133,9,168
2019,April,coal,33353,24495,8691,6,161
2019,May,coal,40015,30285,9547,6,178
2019,June,coal,44218,33558,10482,4,174
2019,July,coal,55863,42319,13345,5,193
2019,August,coal,52348,39741,12412,5,190
2019,Sept,coal,47188,35453,11554,6,175
2019,October,coal,37431,27149,10119,6,157
2019,November,coal,41907,30453,11274,6,173
2019,December,coal,40461,29769,10505,7,180
2020,January,coal,36767,27293,9282,5,187
2020,February,coal,32039,23652,8201,9,177
2020,March,coal,28988,21679,7134,6,168
2020,April,coal,23622,17006,6469,4,144
2020,May,coal,26849,19805,6898,4,142
2020,June,coal,36637,27742,8759,5,130
2020,July,coal,49838,38279,11411,5,143
2020,August,coal,50430,38888,11398,4,140
2020,Sept,coal,38701,29619,8927,7,149
