year,month,type,all_sectors,electric_utilities,ind_power_producers,commercial_sector,industrial_sector
2019,January,natural gas,873247,441597,373529,4566,53555
2019,February,natural gas,801042,411828,338638,4217,46359
2019,March,natural gas,835654,431525,350686,4516,48926
2019,April,natural gas,762539,398908,313343,4173,46115
2019,May,natural gas,863102,458692,350386,4217,49806
2019,June,natural gas,1016432,538784,422755,4619,50274
2019,July,natural gas,1283523,657262,566007,5625,54630
2019,August,natural gas,1305852,676156,568683,5493,55519
2019,Sept,natural gas,1108866,572573,478814,4824,52654
2019,October,natural gas,964472,493737,414452,4356,51926
2019,November,natural gas,846545,423023,366212,4253,53057
2019,December,natural gas,939284,464296,415293,4715,54981
2020,January,natural gas,957988,488493,409190,4702,55603
2020,February,natural gas,901967,466047,381213,4216,50491
2020,March,natural gas,901984,472779,374003,4084,51119
2020,April,natural gas,783043,414915,319418,3516,45194
2020,May,natural gas,853523,456172,346972,3804,46574
2020,June,natural gas,1067619,556783,457006,4249,49581
2020,July,natural gas,1396437,715032,623770,5046,52588
2020,August,natural gas,1304306,665469,580958,4980,52899
2020,Sept,natural gas,1058029,536040,469587,4484,47918
