year,month,type,all_sectors,electric_utilities,ind_power_producers,commercial_sector,industrial_sector
2019,January,petro coke,326,258,54,0,13
2019,February,petro coke,272,222,39,0,11
2019,March,petro coke,235,193,28,0,13
2019,April,petro coke,155,107,32,0,16
2019,May,petro coke,294,219,60,0,14
2019,June,petro coke,216,151,51,0,14
2019,July,petro coke,309,227,58,0,24
2019,August,petro coke,276,203,58,0,15
2019,Sept,petro coke,231,183,33,0,15
2019,October,petro coke,83,64,3,0,15
2019,November,petro coke,129,101,15,0,14
2019,December,petro coke,197,137,46,0,14
2020,January,petro coke,261,204,42,0,15
2020,February,petro coke,190,147,31,0,12
2020,March,petro coke,262,210,39,0,13
2020,April,petro coke,221,179,33,0,9
2020,May,petro coke,231,183,35,0,13
2020,June,petro coke,308,258,36,0,14
2020,July,petro coke,356,298,43,0,15
2020,August,petro coke,305,245,44,0,16
2020,Sept,petro coke,159,116,31,0,13
