year,month,type,all_sectors,electric_utilities,ind_power_producers,commercial_sector,industrial_sector
2019,January,petro liquids,2506,1672,755,32,46
2019,February,petro liquids,1482,1099,327,15,42
2019,March,petro liquids,1476,1159,263,16,38
2019,April,petro liquids,1417,1046,313,15,44
2019,May,petro liquids,1702,1305,346,17,33
2019,June,petro liquids,1747,1369,328,17,33
2019,July,petro liquids,1818,1328,436,24,30
2019,August,petro liquids,1868,1473,340,21,34
2019,Sept,petro liquids,1669,1305,302,27,35
2019,October,petro liquids,1709,1305,347,23,34
2019,November,petro liquids,1626,1228,339,23,37
2019,December,petro liquids,1816,1388,369,22,37
2020,January,petro liquids,1777,1484,237,22,34
2020,February,petro liquids,1444,1187,210,12,35
2020,March,petro liquids,1369,1012,309,17,31
2020,April,petro liquids,1185,923,222,12,28
2020,May,petro liquids,1288,1010,227,20,31
2020,June,petro liquids,1569,1232,287,20,30
2020,July,petro liquids,1747,1343,348,25,31
2020,August,petro liquids,1674,1316,311,24,23
2020,Sept,petro liquids,1411,1129,233,23,27
