Industry,Type,Value,Year
All manufacturing industries,Shipments,4702406,2020
Construction materials and supplies,Shipments,521154,2020
Information technology,Shipments,242603,2020
Computers and related products,Shipments,17633,2020
Motor vehicle and parts,Shipments,522425,2020
Capital goods ,Shipments,808651,2020
Nondefense capital goods,Shipments,687680,2020
Excluding aircraft,Shipments,655108,2020
Defense capital goods,Shipments,120971,2020
Consumer goods,Shipments,1919984,2020
Consumer durable goods,Shipments,363234,2020
Consumer nondurable goods,Shipments,1556750,2020
  All manufacturing industries,New Orders,4574895,2020
Construction materials and supplies,New Orders,521266,2020
Information technology,New Orders,244044,2020
Computers and related products,New Orders,17488,2020
Motor vehicle and parts,New Orders,521954,2020
Capital goods,New Orders,736827,2020
Nondefense capital goods,New Orders,612521,2020
Excluding aircraft,New Orders,662530,2020
Defense capital goods,New Orders,124306,2020
Consumer goods,New Orders,1921065,2020
Consumer durable goods,New Orders,364315,2020
Consumer nondurable goods,New Orders,1556750,2020
All manufacturing industries,Shipments,5041761,2019
Construction materials and supplies,Shipments,527637,2019
Information technology,Shipments,236732,2019
Computers and related products,Shipments,16381,2019
Motor vehicle and parts,Shipments,609549,2019
Capital goods ,Shipments,853341,2019
Nondefense capital goods,Shipments,733381,2019
Excluding aircraft,Shipments,661413,2019
Defense capital goods,Shipments,119960,2019
Consumer goods,Shipments,2125940,2019
Consumer durable goods,Shipments,431355,2019
Consumer nondurable goods,Shipments,1694585,2019
  All manufacturing industries,New Orders,4969032,2019
Construction materials and supplies,New Orders,528374,2019
Information technology,New Orders,238874,2019
Computers and related products,New Orders,16363,2019
Motor vehicle and parts,New Orders,607093,2019
Capital goods,New Orders,831417,2019
Nondefense capital goods,New Orders,709609,2019
Excluding aircraft,New Orders,661265,2019
Defense capital goods,New Orders,121808,2019
Consumer goods,New Orders,2126392,2019
Consumer durable goods,New Orders,431807,2019
Consumer nondurable goods,New Orders,1694585,2019
