,,,,,,,,,,,,,,,
Table 1.  Value of Manufacturers' Shipments for Industry Groups1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Manufacturers' Shipments, Inventories, and Orders Survey.]  ",,,,,,,,,,,,,,,
,,Seasonally Adjusted,,,,,,Not Seasonally Adjusted ,,,,,,,
,,Monthly,,,Percent Change,,,Monthly,,,,Year to date,,,
Industry,,,,,,,,,,,,,,% Change,
,,Oct.,Sep.,Aug.,Sep. -,Aug. -,July -,Oct.,Sep.,Aug.,Oct.,,,2020/,
,,2020p,2020r,2020,Oct.,Sep.,Aug.,2020p,2020r,2020,2019,2020p,2019,2019,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
  All manufacturing industries......…………,,"488,600","483,743","481,216",1.0,0.5,0.3,"501,929","502,538","491,215","516,737","4,702,406","5,041,761",-6.7,
      Excluding transportation……….………,,"406,885","401,910","399,708",1.2,0.6,0.7,"416,313","415,935","408,024","429,208","3,972,323","4,173,589",-4.8,
      Excluding defense…………...…..……….,,"474,152","469,952","467,353",0.9,0.6,0.3,"487,506","487,348","477,608","502,968","4,564,256","4,903,697",-6.9,
      With unfilled orders…………...…..…….. ,,"168,174","163,756","163,503",2.7,0.2,0.9,"170,785","172,655","166,043","174,714","1,622,488","1,738,262",-6.7,
,,,,,,,,,,,,,,,
  Durable goods industries………….…..…….,,"248,762","245,600","244,347",1.3,0.5,-0.2,"256,895","259,427","249,382","255,436","2,337,977","2,504,933",-6.7,
,,,,,,,,,,,,,,,
  Wood products…………..……...….…………,,"10,191","10,048","9,740",1.4,3.2,2.9,"10,728","10,432","10,263","9,555","94,787","91,345",3.8,
  Nonmetallic mineral products…….………….,,"11,897","11,784","11,737",1.0,0.4,-0.7,"13,020","12,635","12,716","12,715","118,048","116,229",1.6,
  Primary metals…………………….…………..,,"18,750","18,360","18,350",2.1,0.1,1.3,"18,954","18,560","18,621","19,805","186,167","203,502",-8.5,
      Iron and steel mills…………..……….….,,"9,566","9,347","9,189",2.3,1.7,0.0,"9,696","9,310","9,335","10,206","94,910","106,915",-11.2,
      Aluminum and nonferrous metals……….,,"7,972","7,893","7,918",1.0,-0.3,2.9,"8,068","8,067","8,044","8,147","78,703","81,283",-3.2,
      Ferrous metal foundries………..…..…….,,"1,212","1,120","1,243",8.2,-9.9,0.2,"1,190","1,183","1,242","1,452","12,554","15,304",-18.0,
  Fabricated metal products…….…………….,,"30,864","30,136","30,031",2.4,0.3,-0.5,"31,965","31,490","31,332","33,527","303,870","320,997",-5.3,
  Machinery………………………………………,,"31,475","31,034","31,146",1.4,-0.4,2.0,"31,910","31,765","30,799","32,556","306,946","323,437",-5.1,
      Farm machinery…..………….……………,,"2,194","2,126","2,153",3.2,-1.3,8.2,"2,183","1,966","1,969","1,856","19,298","20,397",-5.4,
      Construction machinery…..………….…,,"2,645","2,555","2,564",3.5,-0.4,-0.8,"2,877","2,496","2,536","3,136","26,161","31,003",-15.6,
"      Mining, oil field, and ",,,,,,,,,,,,,,,
          gas field machinery………...…………..,,"1,097","1,061","1,069",3.4,-0.7,-1.7,"1,103","1,121","1,045","1,489","11,904","14,548",-18.2,
      Industrial machinery……….…………….,,"3,153","3,139","3,195",0.4,-1.8,3.1,"3,153","3,555","3,191","3,128","31,449","29,548",6.4,
      Photographic equipment….………………,,559,577,583,-3.1,-1.0,-0.7,551,672,551,535,"5,548","5,346",3.8,
"      Ventilation, heating, air-conditioning,",,,,,,,,,,,,,,,
          and refrigeration equipment…………,,"4,031","3,974","4,056",1.4,-2.0,0.4,"3,867","4,140","4,246","3,635","38,597","39,388",-2.0,
      Metalworking machinery......……..…….,,"2,509","2,483","2,466",1.0,0.7,2.1,"2,673","2,643","2,422","2,801","24,362","26,697",-8.7,
"      Turbines, generators, and other",,,,,,,,,,,,,,,
          power transmission equipment….…,,"3,844","3,804","3,819",1.1,-0.4,3.6,"3,992","3,777","3,869","4,427","38,124","41,345",-7.8,
      Material handling equipment……………,,"2,747","2,721","2,669",1.0,1.9,3.0,"2,853","2,767","2,683","2,956","26,835","28,675",-6.4,
  Computers and electronic products2……….,,"31,078","30,408","29,917",2.2,1.6,0.5,"30,984","34,127","30,316","28,518","289,877","280,006",3.5,
      Computers…………...…………………….,,586,576,552,1.7,4.3,-0.7,584,624,623,542,"5,621","6,145",-8.5,
      Computer storage devices……….………..,,510,434,458,17.5,-5.2,-1.3,478,478,411,380,"4,457","3,339",33.5,
      Other peripheral equipment……….……,,814,797,865,2.1,-7.9,3.0,764,936,852,666,"7,555","6,897",9.5,
      Nondefense communications,,,,,,,,,,,,,,,
          equipment……………………….……..,,"4,391","3,971","3,862",10.6,2.8,1.7,"3,774","4,892","3,514","2,888","35,828","32,185",11.3,
      Defense communications equipment….,,276,277,292,-0.4,-5.1,6.2,292,323,284,233,"2,706","2,555",5.9,
      Audio and video equipment……...………..,,372,366,352,1.6,4.0,-3.0,513,337,341,424,"3,031","3,200",-5.3,
      Electronic components…………..………..,,"4,449","4,411","4,398",0.9,0.3,0.7,"4,367","4,579","4,741","3,871","42,927","39,010",10.0,
      Nondefense search and navigation,,,,,,,,,,,,,,,
          equipment……………….……...……….,,"1,551","1,511","1,511",2.6,0.0,-0.8,"1,485","1,669","1,512","1,556","15,067","15,977",-5.7,
      Defense search and navigation,,,,,,,,,,,,,,,
          equipment…………..…………....…….,,"3,072","3,047","2,962",0.8,2.9,-3.2,"3,000","3,269","2,972","2,933","29,595","28,881",2.5,
"      Electromedical, measuring,",,,,,,,,,,,,,,,
          and control instruments……..…...…,,"9,414","9,260","9,155",1.7,1.1,2.8,"9,378","10,544","9,111","8,827","88,838","89,816",-1.1,
"  Electrical equipment, appliances,        ",,,,,,,,,,,,,,,
    and components………….….………………,,"11,009","10,559","10,600",4.3,-0.4,0.0,"11,331","11,430","10,931","11,150","106,950","109,627",-2.4,
      Electric lighting equipment…..…..………..,,950,976,971,-2.7,0.5,-0.7,"1,004","1,006","1,014","1,077","9,716","10,104",-3.8,
      Household appliances…………..……….,,"2,242","1,921","2,050",16.7,-6.3,-1.6,"2,309","2,170","2,083","1,942","19,157","18,778",2.0,
      Electrical equipment………….……………,,"2,878","2,855","2,871",0.8,-0.6,-0.1,"2,781","3,123","2,964","3,310","31,001","34,228",-9.4,
      Batteries………………...…….……....…..,,771,769,772,0.3,-0.4,4.2,907,865,812,892,"7,367","7,432",-0.9,
  Transportation equipment………….………..,,"81,715","81,833","81,508",-0.1,0.4,-1.9,"85,616","86,603","83,191","87,529","730,083","868,172",-15.9,
      Automobiles……………………...……….,,"7,606","8,057","7,572",-5.6,6.4,-17.9,"8,132","8,327","7,856","9,014","63,663","89,887",-29.2,
      Light trucks and utility vehicles…………..,,"21,108","22,651","22,820",-6.8,-0.7,-2.7,"23,264","24,611","23,886","21,774","166,999","206,747",-19.2,
      Heavy duty trucks ………...……………..,,"2,481","2,530","2,344",-1.9,7.9,1.3,"2,644","2,647","2,350","2,614","22,061","26,807",-17.7,
"      Motor vehicle bodies, parts,       ",,,,,,,,,,,,,,,
          and trailers………….…….....…………,,"28,922","28,814","28,554",0.4,0.9,-2.1,"30,487","29,275","29,438","29,497","269,702","286,108",-5.7,
      Nondefense aircraft and parts…..………..,,"6,311","5,107","5,271",23.6,-3.1,33.5,"5,678","5,753","4,933","9,422","59,125","110,890",-46.7,
      Defense aircraft and parts……...…...…,,"4,206","3,742","4,095",12.4,-8.6,-4.2,"4,177","4,235","4,074","4,476","40,341","46,042",-12.4,
      Ships and boats……..………….…….…..,,"2,651","2,695","2,740",-1.6,-1.6,4.9,"2,664","2,742","2,672","2,986","26,436","30,261",-12.6,
  Furniture and related products…….….…….,,"6,611","6,531","6,556",1.2,-0.4,-1.6,"6,788","6,549","6,934","6,824","65,176","66,319",-1.7,
  Miscellaneous durable goods……..………,,"15,172","14,907","14,762",1.8,1.0,1.1,"15,599","15,836","14,279","13,257","136,073","125,299",8.6,
,,,,,,,,,,,,,,,
  Nondurable goods industries…….…………..,,"239,838","238,143","236,869",0.7,0.5,0.8,"245,034","243,111","241,833","261,301","2,364,429","2,536,828",-6.8,
,,,,,,,,,,,,,,,
  Food products……….…………..……….…..,,"68,079","67,630","67,316",0.7,0.5,-0.7,"71,412","69,520","68,314","70,690","676,028","667,945",1.2,
      Grain and oilseed milling…….....….……..,,"7,102","7,109","7,125",-0.1,-0.2,-0.1,"7,442","7,244","7,314","7,181","70,435","68,761",2.4,
