year,month,month_num,dom_consumption,dom_cost,dom_cost_per_gallon,int_consumption,int_cost,int_cost_per_gallon,total_consumption,total_cost,total_cost_per_gallon
2000,January,1,1108.6,766.5,0.69,386.8,313.6,0.81,1495.4,1080.1,0.72
2000,February,2,1068.4,772.3,0.72,366.8,298.7,0.81,1435.2,1071.1,0.75
2000,March,3,1174.3,875.5,0.75,399.7,330.1,0.83,1574,1205.6,0.77
2000,April,4,1145.3,841.9,0.74,407.9,336.7,0.83,1553.1,1178.7,0.76
2000,May,5,1174.2,833.3,0.71,434.4,337.9,0.78,1608.6,1171.2,0.73
2000,June,6,1183.8,809.9,0.68,448.5,345.9,0.77,1632.3,1155.8,0.71
2000,July,7,1223.9,931.7,0.76,463.1,374.7,0.81,1687,1306.3,0.77
2000,August,8,1229,954.5,0.78,468.8,398.9,0.85,1697.8,1353.4,0.8
2000,September,9,1099,928.9,0.85,446.5,421.1,0.94,1545.5,1350,0.87
2000,October,10,1195.6,1052,0.88,452.1,428.6,0.95,1647.7,1480.6,0.9
2000,November,11,1151.9,1005.9,0.87,419.2,395.5,0.94,1571.1,1401.4,0.89
2000,December,12,1149.9,1038.2,0.9,428.6,406,0.95,1578.5,1444.2,0.91
2001,January,1,1153.4,983,0.85,416.7,370,0.89,1570.1,1352.9,0.86
2001,February,2,1066.8,898.3,0.84,386.6,335.7,0.87,1453.4,1234,0.85
2001,March,3,1181.7,936.5,0.79,443.1,377.6,0.85,1624.7,1314.1,0.81
2001,April,4,1124.4,865.5,0.77,434.8,349.1,0.8,1559.1,1214.6,0.78
2001,May,5,1175.4,946.4,0.81,454.2,372.8,0.82,1629.7,1319.2,0.81
2001,June,6,1184.4,951.8,0.8,452.8,373.8,0.83,1637.2,1325.6,0.81
2001,July,7,1213.7,937.2,0.77,466.5,379.9,0.81,1680.2,1317.1,0.78
2001,August,8,1245.8,948.4,0.76,472.1,374.7,0.79,1718,1323.1,0.77
2001,September,9,888.5,703,0.79,369.2,292.7,0.79,1257.7,995.7,0.79
2001,October,10,971.7,688.2,0.71,358,275.3,0.77,1329.7,963.5,0.72
2001,November,11,935.3,618.5,0.66,347,249.8,0.72,1282.3,868.2,0.68
2001,December,12,970.9,548,0.56,354.5,238,0.67,1325.5,786,0.59
2002,January,1,974.8,580.2,0.6,350,231.7,0.66,1324.9,811.9,0.61
2002,February,2,907.1,556.5,0.61,321.8,200.9,0.62,1228.9,757.5,0.62
2002,March,3,1042.6,639,0.61,364.3,227.4,0.62,1406.9,866.4,0.62
2002,April,4,1007.3,696.2,0.69,366.9,252.8,0.69,1374.2,949.1,0.69
2002,May,5,1041.5,726.3,0.7,391.6,278.3,0.71,1433.1,1004.6,0.7
2002,June,6,1062.7,707.2,0.67,394.2,277.1,0.7,1456.9,984.3,0.68
2002,July,7,1108.9,781.6,0.7,415.1,300.9,0.72,1524,1082.4,0.71
2002,August,8,1106.1,795,0.72,421,314.1,0.75,1527,1109.1,0.73
2002,September,9,979.7,748.4,0.76,396.3,308.2,0.78,1376,1056.6,0.77
2002,October,10,1053.8,850,0.81,405.1,340.7,0.84,1458.9,1190.7,0.82
