month,year,system,miles_traveled
Jan,2019,Rural Interstate,18693
Feb,2019,Rural Interstate,16849
Mar,2019,Rural Interstate,20917
Jan,2019,Rural Arterial,27596
Feb,2019,Rural Arterial,25652
Mar,2019,Rural Arterial,31012
Jan,2019,Rural Other,25078
Feb,2019,Rural Other,22757
Mar,2019,Rural Other,27954
Jan,2019,Total Rural,71367
Feb,2019,Total Rural,65258
Mar,2019,Total Rural,79883
Jan,2019,All Systems,248208
Feb,2019,All Systems,226734
Mar,2019,All Systems,271456
Apr,2019,Rural Interstate,22040
May,2019,Rural Interstate,23125
Jun,2019,Rural Interstate,22953
Apr,2019,Rural Arterial,32258
May,2019,Rural Arterial,33634
Jun,2019,Rural Arterial,33847
Apr,2019,Rural Other,30033
May,2019,Rural Other,30660
Jun,2019,Rural Other,30483
Apr,2019,Total Rural,84331
May,2019,Total Rural,87419
Jun,2019,Total Rural,87283
Apr,2019,All Systems,281429
May,2019,All Systems,286020
Jun,2019,All Systems,280936
Jul,2019,Rural Interstate,25386
Aug,2019,Rural Interstate,24150
Sep,2019,Rural Interstate,21446
Jul,2019,Rural Arterial,36658
Aug,2019,Rural Arterial,35209
Sep,2019,Rural Arterial,32849
Jul,2019,Rural Other,32732
Aug,2019,Rural Other,31362
Sep,2019,Rural Other,29241
Jul,2019,Total Rural,94776
Aug,2019,Total Rural,90722
Sep,2019,Total Rural,83537
Jul,2019,All Systems,295584
Aug,2019,All Systems,286531
Sep,2019,All Systems,271691
Oct,2019,Rural Interstate,22417
Nov,2019,Rural Interstate,20460
Dec,2019,Rural Interstate,21670
Oct,2019,Rural Arterial,33943
Nov,2019,Rural Arterial,30303
Dec,2019,Rural Arterial,31239
Oct,2019,Rural Other,30343
Nov,2019,Rural Other,26802
Dec,2019,Rural Other,27497
Oct,2019,Total Rural,86703
Nov,2019,Total Rural,77565
Dec,2019,Total Rural,80406
Oct,2019,All Systems,283955
Nov,2019,All Systems,260459
Dec,2019,All Systems,274113
Jan,2020,Rural Interstate,19213
Feb,2020,Rural Interstate,17394
Mar,2020,Rural Interstate,16772
Jan,2020,Rural Arterial,28350
Feb,2020,Rural Arterial,26438
Mar,2020,Rural Arterial,25871
Jan,2020,Rural Other,25579
Feb,2020,Rural Other,23326
Mar,2020,Rural Other,23518
Jan,2020,Total Rural,73143
Feb,2020,Total Rural,67158
Mar,2020,Total Rural,66161
Jan,2020,All Systems,253582
Feb,2020,All Systems,232062
Mar,2020,All Systems,220148
Apr,2020,Rural Interstate,12195
May,2020,Rural Interstate,16919
Jun,2020,Rural Interstate,19469
Apr,2020,Rural Arterial,20431
May,2020,Rural Arterial,26455
Jun,2020,Rural Arterial,30666
Apr,2020,Rural Other,19996
May,2020,Rural Other,24649
Jun,2020,Rural Other,27954
Apr,2020,Total Rural,52622
May,2020,Total Rural,68023
Jun,2020,Total Rural,78089
Apr,2020,All Systems,168467
May,2020,All Systems,212908
Jun,2020,All Systems,243981
Jul,2020,Rural Interstate,22188
Aug,2020,Rural Interstate,21399
Sep,2020,Rural Interstate,20350
Jul,2020,Rural Arterial,33543
Aug,2020,Rural Arterial,31889
Sep,2020,Rural Arterial,31164
Jul,2020,Rural Other,30511
Aug,2020,Rural Other,28697
Sep,2020,Rural Other,27782
Jul,2020,Total Rural,86242
Aug,2020,Total Rural,81985
Sep,2020,Total Rural,79295
Jul,2020,All Systems,262461
Aug,2020,All Systems,251183
Sep,2020,All Systems,248277
