state,region,Jan_19,Feb_19,Mar_19,Apr_19,May_19,Jun_19,Jul_19,Aug_19,Sep_19,total_2019
Connecticut,northeast,2316,2132,2474,2563,2882,2700,2889,2812,2699,23467
Maine,northeast,1071,1013,1251,1192,1313,1303,1436,1349,1250,11178
Massachusetts,northeast,5122,4750,5467,5130,5806,5849,6269,5982,5680,50055
New Hampshire,northeast,998,925,1177,1181,1184,1221,1300,1325,1171,10482
New Jersey,northeast,5278,5300,6669,6948,7062,6627,6753,6685,7272,58594
New York,northeast,9132,8602,11049,10940,11631,10599,11372,11814,10437,95576
Pennsylvania,northeast,7172,6646,8119,8686,9020,8893,9774,9852,9559,77721
Rhode Island,northeast,425,448,556,625,696,645,756,849,1025,6025
Vermont,northeast,539,508,613,549,616,628,751,729,644,5577
Delaware,south atlantic,715,663,782,852,872,983,1027,988,980,7862
District of Columbia,south atlantic,311,237,327,310,337,352,250,355,346,2825
Florida,south atlantic,19306,17329,20309,19274,20035,18357,19009,18383,17516,169518
Georgia,south atlantic,10661,9944,11346,11654,12438,11064,11975,11081,10332,100495
Maryland,south atlantic,4198,3798,4744,5088,5499,5324,6104,5583,4800,45138
North Carolina,south atlantic,10384,8101,10777,10369,11272,10440,11137,10286,10200,92966
South Carolina,south atlantic,4592,4228,4957,5034,5221,4944,5255,4918,4935,44084
Virginia,south atlantic,6591,5581,6983,7512,7767,7300,7808,7670,7348,64560
West Virginia,south atlantic,1401,1265,1854,1663,1322,1538,1749,1641,1531,13964
Illinois,north central,7899,8287,8556,9700,9443,10361,9500,9306,8882,81934
Indiana,north central,6296,5173,6046,7198,6998,6680,8146,7169,6962,60668
Iowa,north central,2273,2130,2673,3002,3038,3058,3128,2987,2877,25166
Kansas,north central,2363,2289,2586,2885,2732,2815,2919,2868,2664,24121
Michigan,north central,8153,7458,8345,8644,8808,8240,9358,8626,8613,76245
Minnesota,north central,4383,3967,4804,5250,5468,5429,5452,5316,5147,45216
Missouri,north central,5741,4858,5938,6413,6632,6303,7087,6991,7091,57054
Nebraska,north central,1521,1356,1643,1834,1857,1890,1988,1891,1810,15790
North Dakota,north central,749,639,889,996,810,898,977,854,765,7577
Ohio,north central,8964,7928,9187,9728,10054,9858,10548,9910,9602,85779
South Dakota,north central,599,608,796,822,840,931,1026,929,859,7410
Wisconsin,north central,4665,4313,5451,5828,5985,5990,6309,6025,5596,50162
Alabama,south gulf,5621,5124,6111,6426,6523,6382,6330,6438,5935,54890
Arkansas,south gulf,3279,2259,3458,3025,3167,3317,3434,3144,2913,27996
Kentucky,south gulf,4027,3106,3950,4621,4411,4440,4018,4519,4273,37365
Louisiana,south gulf,3672,3290,4085,4178,4297,4562,4672,4882,4142,37780
Mississippi,south gulf,2691,2913,3402,3557,3627,3598,3807,3507,3393,30495
Oklahoma,south gulf,3465,3309,3747,3977,3749,3836,4197,4222,3939,34441
Tennessee,south gulf,6843,5525,6926,7057,7276,7338,7599,6953,6805,62322
Texas,south gulf,22498,21808,24084,23763,24304,23479,24972,24485,24365,213758
Alaska,west,388,364,438,488,549,501,529,521,438,4216
Arizona,west,5538,5434,5818,6345,6281,6135,5447,4693,4918,50609
California,west,24316,23132,28875,31258,28792,30862,31190,30651,26451,255527
Colorado,west,4518,3859,4670,4744,4521,4372,4658,5026,4643,41011
Hawaii,west,899,751,872,987,722,898,1006,1031,1081,8247
Idaho,west,1284,1229,1370,1423,1482,1541,1694,1642,1505,13170
Montana,west,772,744,865,950,1062,1326,1530,1474,1136,9859
Nevada,west,2147,1941,2516,2408,2587,2273,2493,2408,2317,21090
New Mexico,west,2194,2036,2291,2400,2446,2276,2632,2365,2223,20863
Oregon,west,2724,2388,3007,3005,3237,3320,3544,3587,3233,28045
Utah,west,2487,2267,2816,2858,2713,2712,2928,3085,2750,24616
Washington,west,4428,4143,5145,5360,5867,5874,5784,5695,5675,47971
Wyoming,west,735,684,752,866,880,940,1067,1030,963,7917
