month,year,system,miles_traveled
Jan,2019,Urban Interstate,43946
Feb,2019,Urban Interstate,39812
Mar,2019,Urban Interstate,48101
Q1,2019,Urban Interstate,131859
Jan,2019,Urban Arterial,90386
Feb,2019,Urban Arterial,83014
Mar,2019,Urban Arterial,97819
Q1,2019,Urban Arterial,271218
Jan,2019,Urban Other,42509
Feb,2019,Urban Other,38649
Mar,2019,Urban Other,45654
Q1,2019,Urban Other,126813
Jan,2019,Total Urban,176841
Feb,2019,Total Urban,161475
Mar,2019,Total Urban,191574
Q1,2019,Total Urban,529889
Jan,2019,All Systems,248208
Feb,2019,All Systems,226734
Mar,2019,All Systems,271456
Q1,2019,All Systems,746398
Apr,2019,Urban Interstate,48891
May,2019,Urban Interstate,50349
Jun,2019,Urban Interstate,50527
Q2,2019,Urban Interstate,149766
Apr,2019,Urban Arterial,100574
May,2019,Urban Arterial,100490
Jun,2019,Urban Arterial,97364
Q2,2019,Urban Arterial,298428
Apr,2019,Urban Other,47633
May,2019,Urban Other,47762
Jun,2019,Urban Other,45762
Q2,2019,Urban Other,141158
Apr,2019,Total Urban,197098
May,2019,Total Urban,198601
Jun,2019,Total Urban,193653
Q2,2019,Total Urban,589352
Apr,2019,All Systems,281429
May,2019,All Systems,286020
Jun,2019,All Systems,280936
Q2,2019,All Systems,848385
Jul,2019,Urban Interstate,49912
Aug,2019,Urban Interstate,49751
Sep,2019,Urban Interstate,47886
Q3,2019,Urban Interstate,147550
Jul,2019,Urban Arterial,102477
Aug,2019,Urban Arterial,99915
Sep,2019,Urban Arterial,95767
Q3,2019,Urban Arterial,298158
Jul,2019,Urban Other,48420
Aug,2019,Urban Other,46143
Sep,2019,Urban Other,44502
Q3,2019,Urban Other,139065
Jul,2019,Total Urban,200809
Aug,2019,Total Urban,195809
Sep,2019,Total Urban,188155
Q3,2019,Total Urban,584773
Jul,2019,All Systems,295584
Aug,2019,All Systems,286531
Sep,2019,All Systems,271691
Q3,2019,All Systems,853807
Oct,2019,Urban Interstate,49306
Nov,2019,Urban Interstate,47075
Dec,2019,Urban Interstate,49663
Q4,2019,Urban Interstate,146044
Oct,2019,Urban Arterial,101810
Nov,2019,Urban Arterial,92506
Dec,2019,Urban Arterial,98311
Q4,2019,Urban Arterial,292627
Oct,2019,Urban Other,46135
Nov,2019,Urban Other,43313
Dec,2019,Urban Other,45734
Q4,2019,Urban Other,135182
Oct,2019,Total Urban,197252
Nov,2019,Total Urban,182894
Dec,2019,Total Urban,193707
Q4,2019,Total Urban,573853
Oct,2019,All Systems,283955
Nov,2019,All Systems,260459
Dec,2019,All Systems,274113
Q4,2019,All Systems,818527
Jan,2020,Urban Interstate,44878
Feb,2020,Urban Interstate,40872
Mar,2020,Urban Interstate,37860
Q1,2020,Urban Interstate,123609
Jan,2020,Urban Arterial,92011
Feb,2020,Urban Arterial,84560
Mar,2020,Urban Arterial,78553
Q1,2020,Urban Arterial,255124
Jan,2020,Urban Other,43551
Feb,2020,Urban Other,39472
Mar,2020,Urban Other,37574
Q1,2020,Urban Other,120598
Jan,2020,Total Urban,180440
Feb,2020,Total Urban,164904
Mar,2020,Total Urban,153987
Q1,2020,Total Urban,499331
Jan,2020,All Systems,253582
Feb,2020,All Systems,232062
Mar,2020,All Systems,220148
Q1,2020,All Systems,705793
Apr,2020,Urban Interstate,26950
May,2020,Urban Interstate,34986
Jun,2020,Urban Interstate,41784
Q2,2020,Urban Interstate,103720
Apr,2020,Urban Arterial,59534
May,2020,Urban Arterial,73763
Jun,2020,Urban Arterial,83830
Q2,2020,Urban Arterial,217127
Apr,2020,Urban Other,29361
May,2020,Urban Other,36135
Jun,2020,Urban Other,40279
Q2,2020,Urban Other,105774
Apr,2020,Total Urban,115845
May,2020,Total Urban,144885
Jun,2020,Total Urban,165892
Q2,2020,Total Urban,426622
Apr,2020,All Systems,168467
May,2020,All Systems,212908
Jun,2020,All Systems,243981
Q2,2020,All Systems,625357
Jul,2020,Urban Interstate,42576
Aug,2020,Urban Interstate,41809
Sep,2020,Urban Interstate,42718
Q3,2020,Urban Interstate,127103
Jul,2020,Urban Arterial,90398
Aug,2020,Urban Arterial,87072
Sep,2020,Urban Arterial,86953
Q3,2020,Urban Arterial,264423
Jul,2020,Urban Other,43245
Aug,2020,Urban Other,40318
Sep,2020,Urban Other,39312
Q3,2020,Urban Other,122875
Jul,2020,Total Urban,176219
Aug,2020,Total Urban,169199
Sep,2020,Total Urban,168982
Q3,2020,Total Urban,514400
Jul,2020,All Systems,262461
Aug,2020,All Systems,251183
Sep,2020,All Systems,248277
Q3,2020,All Systems,761922
