date,throughput,year
12/10/2020,754307,2020
12/9/2020,564372,2020
12/8/2020,501513,2020
12/7/2020,703546,2020
12/6/2020,837137,2020
12/5/2020,629430,2020
12/4/2020,753951,2020
12/3/2020,738050,2020
12/2/2020,632356,2020
12/1/2020,780283,2020
11/30/2020,981912,2020
11/29/2020,1176091,2020
11/28/2020,964630,2020
11/27/2020,820399,2020
11/26/2020,560902,2020
11/25/2020,1070967,2020
11/24/2020,912090,2020
11/23/2020,917354,2020
11/22/2020,1047934,2020
11/21/2020,984369,2020
11/20/2020,1019836,2020
11/19/2020,907332,2020
11/18/2020,703135,2020
11/17/2020,611497,2020
11/16/2020,883157,2020
11/15/2020,978297,2020
11/14/2020,697360,2020
11/13/2020,881579,2020
11/12/2020,866679,2020
11/11/2020,674633,2020
11/10/2020,596475,2020
11/9/2020,836600,2020
11/8/2020,973020,2020
11/7/2020,689951,2020
11/6/2020,895091,2020
11/5/2020,867105,2020
11/4/2020,636533,2020
11/3/2020,575829,2020
11/2/2020,846138,2020
11/1/2020,936092,2020
10/31/2020,618476,2020
10/30/2020,892712,2020
10/29/2020,873636,2020
10/28/2020,666957,2020
10/27/2020,648517,2020
10/26/2020,898735,2020
10/25/2020,983745,2020
10/24/2020,755287,2020
10/23/2020,958437,2020
10/22/2020,934386,2020
10/21/2020,694150,2020
10/20/2020,662484,2020
10/19/2020,921031,2020
10/18/2020,1031505,2020
10/17/2020,788743,2020
10/16/2020,973046,2020
10/15/2020,950024,2020
10/14/2020,717940,2020
10/13/2020,680894,2020
10/12/2020,958440,2020
10/11/2020,984234,2020
10/10/2020,769868,2020
10/9/2020,968545,2020
10/8/2020,936915,2020
10/7/2020,668519,2020
10/6/2020,590766,2020
10/5/2020,816838,2020
10/4/2020,900911,2020
10/3/2020,677661,2020
10/2/2020,857186,2020
10/1/2020,855908,2020
9/30/2020,634046,2020
9/29/2020,568688,2020
9/28/2020,797699,2020
9/27/2020,873038,2020
9/26/2020,659350,2020
9/25/2020,826329,2020
9/24/2020,826316,2020
9/23/2020,608726,2020
9/22/2020,549741,2020
9/21/2020,769936,2020
9/20/2020,847968,2020
9/19/2020,638575,2020
9/18/2020,812214,2020
9/17/2020,784746,2020
9/16/2020,577847,2020
9/15/2020,522383,2020
9/14/2020,729558,2020
9/13/2020,809850,2020
9/12/2020,613703,2020
9/11/2020,731353,2020
9/10/2020,755051,2020
9/9/2020,616923,2020
9/8/2020,704075,2020
9/7/2020,935308,2020
9/6/2020,689630,2020
9/5/2020,664640,2020
9/4/2020,968673,2020
9/3/2020,877698,2020
9/2/2020,578131,2020
9/1/2020,516068,2020
8/31/2020,711178,2020
8/30/2020,807695,2020
8/29/2020,591734,2020
8/28/2020,738873,2020
8/27/2020,721060,2020
8/26/2020,540043,2020
8/25/2020,523186,2020
8/24/2020,726788,2020
8/23/2020,841806,2020
8/22/2020,625822,2020
8/21/2020,764468,2020
8/20/2020,772380,2020
8/19/2020,586718,2020
8/18/2020,565946,2020
8/17/2020,773319,2020
8/16/2020,862949,2020
8/15/2020,689895,2020
8/14/2020,783744,2020
8/13/2020,761821,2020
8/12/2020,590749,2020
8/11/2020,559420,2020
8/10/2020,761861,2020
8/9/2020,831789,2020
8/8/2020,683212,2020
8/7/2020,762547,2020
8/6/2020,743599,2020
8/5/2020,595739,2020
8/4/2020,543601,2020
8/3/2020,737235,2020
8/2/2020,799861,2020
8/1/2020,709033,2020
7/31/2020,767320,2020
7/30/2020,718310,2020
